Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
Morning Glory,38357,Comedy,Goldcrest Pictures,40000000,58785180,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories.",2010-11-10,31.955639159393574
Cats & Dogs: The Revenge of Kitty Galore,39691,Comedy,Village Roadshow Pictures,85000000,112483764,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,2010-07-30,24.433538692748584
The Switch,41210,Comedy,Mandate Pictures,19000000,49830607,"An unmarried 40-year-old woman turns to a turkey baster in order to become pregnant. Seven years later, she reunites with her best friend, who has been living with a secret: he replaced her preferred sperm sample with his own.",2010-05-11,61.870823688742135
The Back-Up Plan,34806,Comedy,Escape Artists,35000000,77477008,"When Zoe tires of looking for Mr. Right, she decides to have a baby on her own. But on the day she's artificially inseminated, she meets Stan, who seems to be just who she's been searching for all her life. Now, Zoe has to figure out how to make her two life's dreams fit with each other.",2010-04-23,54.82530765772473
My Name Is Khan,26022,Drama,Dharma Productions,12000000,42345360,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",2010-02-11,71.66159409200914
Devil,44040,Horror,Universal Pictures,10000000,33583175,A group of people trapped in a elevator realizes that the devil is among them.,2010-01-13,70.22318467506422
Tooth Fairy,23023,Comedy,Dune Entertainment,48000000,112462508,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",2010-01-14,57.31910940488718
Marmaduke,38579,Family,Dune Entertainment,50000000,83761844,"When Phil and Debbie Winslow relocate from their native Kansas to the sunny climes of Orange County, their big-hearted, havoc-wreaking Great Dane gets a taste of the dog's life, California-style.",2010-06-04,40.30694930737198
Legend of the Guardians: The Owls of Ga'Hoole,41216,Animation,Village Roadshow Pictures,80000000,140073390,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",2010-07-10,42.887082264518625
Jonah Hex,20533,Action,Warner Bros. Pictures,47000000,10539000,"Gunslinger Jonah Hex (Josh Brolin) is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull (John Malkovich), a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child. Megan Fox plays a prostitute as well as Jonah Hex's love interst in the film.",2010-06-18,-345.9626150488661
Leap Year,25195,Romance,Birnbaum / Barber Productions,19000000,29922472,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",2010-01-08,36.50257238105194
Animal Kingdom,44629,Drama,Porchlight Films,5000000,1000000,"Following the death of his mother, J finds himself living with his estranged family, under the watchful eye of his doting grandmother, Smurf, mother to the Cody boys. J quickly comes to believe that he is a player in this world. But, as he soon discovers, this world is far larger and more menacing than he could ever imagine. J finds himself at the center of a cold-blooded revenge plot that turns the family upside down.",2010-06-03,-400.0
Monsters,43933,Drama,Vertigo Entertainment,500000,4242978,"Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over Central America. Soon after, new life forms began to appear and half of Mexico was quarantined as an infected zone. Today, the American and Mexican military still struggle to contain ""the creatures,"" while a journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the U.S. border.",2010-06-18,88.21582388595934
Remember Me,23169,Drama,Summit Entertainment,16000000,56032889,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.",2010-03-12,71.44534168138289
Love & Other Drugs,43347,Drama,Fox 2000 Pictures,30000000,102820008,"Maggie, an alluring free spirit who won't let anyone - or anything - tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serve him well with the ladies and in the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",2010-11-22,70.82279939134025
The Extraordinary Adventures of Adèle Blanc-Sec,35552,Fantasy,Apipoulaï,25000000,34100000,"An adventure set in the early part of the 20th century, focused on a popular novelist and her dealings with would-be suitors, the cops, monsters, and other distractions.",2010-04-09,26.68621700879765
Trust,44945,Crime,Dark Harbor Stories,9500000,120000,"A suburban family is torn apart when fourteen-year-old Annie meets her first boyfriend online. After months of communicating via online chat and phone, Annie discovers her friend is not who he originally claimed to be. Shocked into disbelief, her parents are shattered by their daughter's actions and struggle to support her as she comes to terms with what has happened to her once innocent life.",2010-09-10,-7816.666666666667
Alpha and Omega,12819,Animation,Lions Gate Family Entertainment,20000000,50500000,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.",2010-09-17,60.396039603960396
Paranormal Activity 2,41436,Horror,Paramount,3000000,177512032,"Just as Dan and Kristi welcome a newborn baby into their home, a demonic presence begins terrorizing them, tearing apart their perfect world and turning it into an inescapable nightmare. Security cameras capture the torment, making every minute horrifyingly real.",2010-10-20,98.30997371490852
You Again,38303,Comedy,Oops Doughnuts Productions,20000000,32005248,"History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her brother that a tiger doesn't change its stripes. On Marni's side is her mother, while Joanna's backed by her wealthy aunt.",2010-09-24,37.51024831927564
The Runaways,27586,Drama,River Road Entertainment,10000000,2995811,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for the Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengalilike influence of impresario Kim Fowley, the band becomes a huge success.",2010-03-19,-233.79942860213814
